GALLERY ID,YEAR,SUBMODEL,TRIM,VEHICLE COLOR,VEHICLE TITLE,WHEEL STYLE,WHEEL FINISH,WHEEL SIZE (F),OFFESET (F),PART# (F),TIRE SIZE (F),TIRE PART # (F),WHEEL SIZE (REAR),OFFSET (R),WHEEL PART# (R),TIRE SIZE (R),TIRE PART # (R),TIRE MODEL
E5-38,2006,C6,Grand Sport,Matte Black,2006 C6 Corvette,Sebring,Gloss Black,"19"" x 10""",30mm,E5SE1910E30565BK,275/35R19,104420,"20"" x 12""",50mm,E5SE2012E50565BK,325/30R20,,Toyo Proxy R888R
E5-26,2012,C6,,,2012 C6 Corvette,Daytona,Titanium Brushed,"19"" x 10""",30mm,E5DA1910E30565TIU,275/30R19,,"20"" x 12""",50mm,E5DA2012E50565TIU,335/25R20,,Continental ExtremeContact Sport 02
E5-27,2012,C6,,,2012 C6 Corvette,Daytona,Titanium Brushed,"19"" x 10""",30mm,E5DA1910E30565TIU,275/30R19,,"20"" x 12""",50mm,E5DA2012E50565TIU,335/25R20,,Continental ExtremeContact Sport 02
E5-08,2012,C6,Grand Sport,,2012 C6 Corvette Grand Sport,Daytona,Titanium Brushed,"19"" x 10""",30mm,E5DA1910E30565TIU,285/35R19,,"20"" x 12""",50mm,E5DA2012E50565TIU,335/25R20,,
E5-16,2014,C7,,,2014 C7 Corvette,Daytona,Bronze Brushed Tint,"19"" x 9.5""",53mm,E5DA1995E53565BBT,245/35R19,,"20"" x 11""",76mm,E5DA2011E76565BBT,305/30R20,,Michelin Pilot Sport 4S
E5-37,2015,C7,Z06,,2015 C7 Corvette Z06 Laguna Blue ,Sebring,Gloss Black,"19"" x 10""",30mm,E5SE1910E30565BK,285/35R19,,"20"" x 12""",50mm,E5SE2012E50565BK,335/25R20,,Continental ExtremeContact Sport 02
E5-19,2016,C7,Z06,,2016 C7 Corvette Z06,Daytona,Gloss Black,"19"" x 10""",30mm,E5DA1910E30565BK,285/35R19,,"20"" x 12""",50mm,E5DA2012E50565BK,335/25R20,,
E5-33,2016,C7,Z06,,2016 C7 Corvette Z06,Daytona,Titanium Brushed,"19"" x 10""",30mm,E5DA1910E30565TIU,285/35R19,,"20"" x 12""",50mm,E5DA2012E50565TIU,335/25R20,,
E5-07,2017,C7,Grand Sport,,2017 C7 Corvette Grand Sport,Sebring,Titanium Brushed,"19"" x 10""",30mm,E5SE1910E30565TIU,285/35R19,,"20"" x 12""",50mm,E5SE2012E50565TIU,335/25R20,,Continental Sport 02
E5-30,2017,C7,Grand Sport,,2017 C7 Corvette Grand Sport,Daytona,Chrome,"19"" x 10""",30mm,E5DA1910E30565CH,275/30R19,,"20"" x 12""",50mm,E5DA2012E50565CH,335/25R20,,Continental ExtremeContact Sport 02
E5-35,2017,C7,Grand Sport,,2017 C7 Corvette Grand Sport,Daytona,Gloss Black,"19"" x 10""",30mm,E5DA1910E30565BK,285/35R19,,"20"" x 12""",50mm,E5DA2012E50565BK,335/25R20,,
E5-18,2017,C7,Grand Sport,,2017 C7 Corvette Grand Sport Collectors Edition,Sebring,Gloss Black,"19"" x 10""",30mm,E5SE1910E30565BK,285/35R19,,"20"" x 12""",50mm,E5SE2012E50565BK,335/25R20,,
E5-09,2017,C7,Stingray,,2017 C7 Corvette Stingray,Daytona,Gloss Black,"19"" x 9.5""",53mm,E5DA1995E53565BK,275/30R19,,"20"" x 11""",76mm,E5DA2011E76565BK,325/25R20,,Michelin Pilot Sport 4S
E5-15,2017,C7,Z06,,2017 C7 Corvette Z06 Racing Yellow,Sebring,Titanium Brushed,"19"" x 10""",30mm,E5SE1910E30565TIU,275/30R19,,"20"" x 12""",50mm,E5SE2012E50565TIU,335/25R20,,Continental ExtremeContact Sport 02
E5-49,2018,C7,Grand Sport,,2018 C7 Corvette Grand Sport,Daytona,Gloss Black,"19"" x 10""",30mm,E5DA1910E30565BK,285/35R19,,"20"" x 12""",50mm,E5DA2012E50565BK,335/25R20,,
E5-23,2019,C7,Grand Sport,,2019 C7 Corvette Grand Sport,Sebring,Titanium Brushed,"19"" x 10""",30mm,E5SE1910E30565TIU,285/35R19,,"20"" x 12""",50mm,E5SE2012E50565TIU,335/25R20,,
E5-05,2019,C7,Grand Sport,,2019 C7 Corvette Grand Sport Sebring Orange,Daytona,Titanium Brushed,"19"" x 10""",30mm,E5DA1910E30565TIU,285/35R19,,"20"" x 12""",50mm,E5DA2012E50565TIU,335/25R20,,Continental ExtremeContact Sport 02
